episode,channel,stage,x_m,y_m,outcome,svd_deg,nearest_center_m
1,8,survey,-958.28,269.43,no_signal,,0.00
1,8,survey-clear,-812.54,-551.17,no_signal,,0.00
1,8,survey-clear,-118.00,-969.35,no_signal,,0.00
1,8,survey-clear,657.74,-730.14,no_signal,,0.00
1,8,survey-clear,988.50,27.55,no_signal,,0.00
1,8,survey-clear,616.46,756.23,direction,109.66,0.00
1,8,survey-clear,-364.22,1186.82,direction,36.27,0.00
1,9,survey,0.00,0.00,direction,195.30,975.66
1,9,survey,-958.28,269.43,direction,305.37,0.00
1,10,survey,0.00,0.00,no_signal,,975.66
1,10,survey,-958.28,269.43,no_signal,,0.00
1,10,survey-clear,-812.54,-551.17,no_signal,,0.00
1,10,survey-clear,-118.00,-969.35,direction,348.81,0.00
1,10,survey-clear,657.74,-730.14,direction,318.90,0.00
1,10,survey-clear,988.50,27.55,direction,281.35,0.00
1,11,survey,0.00,0.00,no_signal,,975.66
1,11,survey,-958.28,269.43,no_signal,,0.00
1,11,survey-clear,-812.54,-551.17,no_signal,,0.00
1,11,survey-clear,-118.00,-969.35,no_signal,,0.00
1,11,survey-clear,657.74,-730.14,no_signal,,0.00
1,11,survey-clear,988.50,27.55,no_signal,,0.00
1,11,survey-clear,616.46,756.23,no_signal,,0.00
1,11,survey-clear,-364.22,1186.82,no_signal,,0.00
1,12,survey,0.00,0.00,no_signal,,975.66
1,12,survey,-958.28,269.43,direction,57.80,0.00
1,12,survey-clear,-812.54,-551.17,no_signal,,0.00
1,12,survey-clear,616.46,756.23,direction,156.63,0.00
1,13,survey,0.00,0.00,direction,119.40,975.66
1,13,survey,-958.28,269.43,direction,23.09,0.00
1,14,survey,0.00,0.00,direction,286.83,975.66
1,14,survey,-958.28,269.43,no_signal,,0.00
1,14,survey-clear,-812.54,-551.17,direction,349.35,0.00
1,14,survey-clear,-118.00,-969.35,direction,29.49,0.00
1,15,survey,0.00,0.00,no_signal,,975.66
1,15,survey,-958.28,269.43,no_signal,,0.00
1,15,survey-clear,-812.54,-551.17,no_signal,,0.00
1,15,survey-clear,-118.00,-969.35,no_signal,,0.00
1,15,survey-clear,657.74,-730.14,no_signal,,0.00
1,15,survey-clear,988.50,27.55,no_signal,,0.00
1,15,survey-clear,616.46,756.23,no_signal,,0.00
1,15,survey-clear,-364.22,1186.82,no_signal,,0.00
1,16,survey,0.00,0.00,direction,32.43,975.66
1,16,survey,-958.28,269.43,no_signal,,0.00
1,16,survey-clear,-812.54,-551.17,no_signal,,0.00
1,16,survey-clear,-118.00,-969.35,no_signal,,0.00
1,16,survey-clear,657.74,-730.14,direction,83.55,0.00
1,16,survey-clear,988.50,27.55,direction,111.79,0.00
1,17,survey,0.00,0.00,no_signal,,975.66
1,17,survey,-958.28,269.43,no_signal,,0.00
1,17,survey-clear,-812.54,-551.17,no_signal,,0.00
1,17,survey-clear,-118.00,-969.35,no_signal,,0.00
1,17,survey-clear,657.74,-730.14,no_signal,,0.00
1,17,survey-clear,988.50,27.55,no_signal,,0.00
1,17,survey-clear,616.46,756.23,no_signal,,0.00
1,17,survey-clear,-364.22,1186.82,no_signal,,0.00
1,18,survey,0.00,0.00,direction,87.99,975.66
1,18,survey,-958.28,269.43,no_signal,,0.00
1,18,survey-clear,-812.54,-551.17,no_signal,,0.00
1,18,survey-clear,-118.00,-969.35,no_signal,,0.00
1,18,survey-clear,657.74,-730.14,no_signal,,0.00
1,18,survey-clear,988.50,27.55,no_signal,,0.00
1,18,survey-clear,616.46,756.23,direction,156.52,0.00
1,19,survey,0.00,0.00,no_signal,,975.66
1,19,survey,-958.28,269.43,no_signal,,0.00
1,19,survey-clear,-812.54,-551.17,no_signal,,0.00
1,19,survey-clear,-118.00,-969.35,no_signal,,0.00
1,19,survey-clear,657.74,-730.14,no_signal,,0.00
1,19,survey-clear,988.50,27.55,no_signal,,0.00
1,19,survey-clear,616.46,756.23,no_signal,,0.00
1,19,survey-clear,-364.22,1186.82,no_signal,,0.00
1,20,survey,0.00,0.00,no_signal,,975.66
1,20,survey,-958.28,269.43,no_signal,,0.00
1,20,survey-clear,-812.54,-551.17,no_signal,,0.00
1,20,survey-clear,-118.00,-969.35,no_signal,,0.00
1,20,survey-clear,657.74,-730.14,direction,49.57,0.00
1,20,survey-clear,988.50,27.55,direction,27.83,0.00
1,20,survey-clear,616.46,756.23,direction,335.09,0.00
1,20,refine,1550.88,322.80,direction,21.09,635.17
